Order ID,Order Date,Ship Date,Region,State,Segment,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount %,Sales,Profit,Customer Name
ORD-100000,2022-08-17,2022-08-18,Central,Ohio,Consumer,Furniture,Chairs,Accessories Model 5 (Technology),4,233.48,5.0,887.22,213.49,Beta Enterprises
ORD-100001,2024-05-14,2024-05-15,West,Oregon,Consumer,Furniture,Bookcases,Art Model 2 (Office Supplies),1,130.29,0.0,130.29,19.35,Kappa LLC
ORD-100002,2024-07-08,2024-07-18,West,California,Corporate,Furniture,Furnishings,Binders Model 4 (Office Supplies),3,78.46,0.0,235.38,46.81,Gamma LLC
ORD-100003,2023-11-21,2023-11-23,West,California,Corporate,Office Supplies,Labels,Art Model 8 (Office Supplies),3,38.04,0.0,114.12,31.23,Alpha Solutions
ORD-100004,2022-09-13,2022-09-20,West,Washington,Consumer,Technology,Machines,Art Model 4 (Office Supplies),2,255.94,0.0,511.88,105.88,Beta Corp
ORD-100005,2023-04-12,2023-04-17,South,Alabama,Corporate,Furniture,Furnishings,Furnishings Model 6 (Furniture),2,135.96,15.0,231.13,41.53,Zeta LLC
ORD-100006,2024-01-29,2024-02-04,West,Washington,Home Office,Technology,Phones,Art Model 8 (Office Supplies),3,81.24,15.0,207.16,33.52,Gamma Enterprises
ORD-100007,2023-05-17,2023-05-20,East,Massachusetts,Corporate,Technology,Accessories,Phones Model 8 (Technology),5,157.82,-0.0,789.1,43.4,Alpha LLC
ORD-100008,2022-03-07,2022-03-13,East,New York,Home Office,Furniture,Tables,Tables Model 8 (Furniture),3,238.89,0.0,716.67,112.44,Lambda Solutions
ORD-100009,2024-07-28,2024-07-31,West,Oregon,Home Office,Technology,Machines,Accessories Model 6 (Technology),3,539.71,5.0,1538.17,312.66,Kappa Enterprises
ORD-100010,2024-03-28,2024-04-03,West,Oregon,Consumer,Technology,Storage,Chairs Model 2 (Furniture),2,38.04,0.0,76.08,16.43,Beta LLC
ORD-100011,2022-11-24,2022-12-01,Central,Texas,Corporate,Office Supplies,Art,Labels Model 8 (Office Supplies),3,14.35,0.0,43.05,13.35,Alpha Corp
ORD-100012,2023-07-01,2023-07-07,West,Nevada,Home Office,Furniture,Furnishings,Bookcases Model 1 (Furniture),6,210.45,-0.0,1262.7,204.63,Epsilon Enterprises
ORD-100013,2023-01-01,2023-01-10,South,Louisiana,Corporate,Technology,Accessories,Chairs Model 10 (Furniture),3,210.58,0.0,631.74,122.95,Gamma Enterprises
ORD-100014,2024-12-22,2024-12-23,Central,Texas,Corporate,Furniture,Bookcases,Storage Model 9 (Technology),1,309.85,10.0,278.86,55.7,Epsilon LLC
ORD-100015,2022-04-29,2022-05-03,South,Georgia,Consumer,Furniture,Furnishings,Machines Model 5 (Technology),5,169.2,0.0,846.0,133.61,Gamma LLC
ORD-100016,2024-08-31,2024-09-09,West,Arizona,Home Office,Technology,Storage,Tables Model 8 (Furniture),2,237.24,0.0,474.48,81.01,Delta Inc
ORD-100017,2024-03-28,2024-04-03,East,Florida,Consumer,Office Supplies,Binders,Furnishings Model 2 (Furniture),1,13.55,0.0,13.55,3.72,Beta Inc
ORD-100018,2022-02-13,2022-02-23,Central,Missouri,Home Office,Furniture,Bookcases,Bookcases Model 10 (Furniture),5,71.3,0.0,356.5,42.94,Alpha LLC
ORD-100019,2022-05-19,2022-05-20,South,Georgia,Home Office,Technology,Accessories,Furnishings Model 6 (Furniture),2,514.66,0.0,1029.32,138.4,Lambda LLC
ORD-100020,2022-09-28,2022-10-08,Central,Ohio,Consumer,Office Supplies,Art,Tables Model 5 (Furniture),3,25.29,0.0,75.87,22.39,Beta Solutions
ORD-100021,2023-12-27,2024-01-03,East,New York,Corporate,Technology,Phones,Bookcases Model 8 (Furniture),5,281.58,-0.0,1407.9,289.17,Zeta Corp
ORD-100022,2023-05-25,2023-05-29,West,Nevada,Corporate,Furniture,Furnishings,Tables Model 4 (Furniture),1,404.79,0.0,404.79,94.08,Lambda LLC
ORD-100023,2022-06-04,2022-06-12,South,North Carolina,Home Office,Furniture,Bookcases,Phones Model 4 (Technology),3,89.67,15.0,228.66,62.42,Alpha Corp
ORD-100024,2023-04-30,2023-05-03,East,Pennsylvania,Consumer,Furniture,Furnishings,Storage Model 6 (Technology),1,157.19,5.0,149.33,31.86,Gamma Solutions
ORD-100025,2022-01-05,2022-01-12,West,Nevada,Home Office,Office Supplies,Art,Phones Model 10 (Technology),4,2.04,0.0,8.16,2.62,Lambda LLC
ORD-100026,2023-01-24,2023-01-29,West,California,Corporate,Technology,Phones,Accessories Model 6 (Technology),5,470.34,0.0,2351.7,251.96,Alpha Corp
ORD-100027,2024-09-03,2024-09-12,South,North Carolina,Consumer,Furniture,Bookcases,Labels Model 6 (Office Supplies),3,288.14,0.0,864.42,106.09,Gamma Corp
ORD-100028,2022-05-20,2022-05-24,East,Florida,Consumer,Furniture,Bookcases,Art Model 10 (Office Supplies),6,35.62,-0.0,213.72,28.57,Kappa Enterprises
